,Studio,Type,City,State/Province,Country
370,Capcom Mobile, Mobile,Burlington,Ontario,Canada
371,Caper Games, Developer,Victoria,British Columbia,Canada
372,Captain Games, Mobile,Vancouver,British Columbia,Canada
373,Capybara Games, Developer,Toronto,Ontario,Canada
374,Cardboard Utopia, Mobile,Montreal,Quebec,Canada
375,Casual Immersions Entertainment, Mobile,Vancouver,British Columbia,Canada
376,Cathar Games, Developer,Quebec City,Quebec,Canada
377,Cedar Hill Games, Mobile,Victoria,British Columbia,Canada
378,Celsius Game Studio, Developer,St. Johns,Newfoundland,Canada
379,Certain Affinity, Developer,Toronto,Ontario,Canada
380,Chainsawesome Games, Developer,Quebec City,Quebec,Canada
381,Charm Games, Virtual Reality,Vancouver,British Columbia,Canada
382,Chevy Ray, Developer,Vancouver,British Columbia,Canada
383,Citérémis, Developer,Sherbrooke,Quebec,Canada
384,Clapfoot, Mobile,Toronto,Ontario,Canada
385,Clever Endeavour Games, Developer,Montreal,Quebec,Canada
386,Clicktoy Interactive, Developer,Coquitlam,British Columbia,Canada
387,Cloudhead Games, Virtual Reality,Victoria,British Columbia,Canada
388,Cococucumber, Developer,Toronto,Ontario,Canada
389,CodeHatch, Developer,Edmonton,Alberta,Canada
390,Codename Entertainment, Developer,Victoria,British Columbia,Canada
391,Colorspace Studio, Developer,Montreal,Quebec,Canada
392,Complex Games, Developer,Winnipeg,Manitoba,Canada
393,Compulsion Games (Microsoft), Developer,Montreal,Quebec,Canada
394,Conatus Creative, Developer,Ottawa,Ontario,Canada
395,Crash Wave Games, Developer,Vancouver,British Columbia,Canada
396,Creative Bytes Studios, Mobile,Saint Catharines,Ontario,Canada
397,Curiobot, Developer,Vancouver,British Columbia,Canada
398,Cyanide Studio, Developer,Montreal,Quebec,Canada
399,CyberConnect2, Developer,Montreal,Quebec,Canada
400,Dark Slope Studios, Virtual Reality,Toronto,Ontario,Canada
401,Digital Extremes, Developer,London,Ontario,Canada
402,Digital Extremes, Developer,Toronto,Ontario,Canada
403,Digital Leisure, Developer and Publisher,Richmond Hill,Ontario,Canada
404,Dirty Rectangles, Organization,Ottawa,Ontario,Canada
405,Disney Interactive Studios Canada, Publisher,Toronto,Ontario,Canada
406,dotBunny, Developer,Peterborough,Ontario,Canada
407,Double Jump, Mobile,Victoria,British Columbia,Canada
408,Double Stallion, Mobile,Montreal,Quebec,Canada
409,Doublespeak Games, Online,Ottawa,Ontario,Canada
410,DrinkBox Studios, Developer,Toronto,Ontario,Canada
411,Dumb and Fat Games, Developer,Vancouver,British Columbia,Canada
412,EA Canada (Electronic Arts), Developer and Publisher,Burnaby,British Columbia,Canada
413,EA Mobile (Electronic Arts), Mobile,Kitchener,Ontario,Canada
414,EA Mobile (Electronic Arts), Mobile,Montreal,Quebec,Canada
415,EA Montreal (Electronic Arts), Publisher,Montreal,Quebec,Canada
416,EA Sports (Electronic Arts), Developer,Burnaby,British Columbia,Canada
417,East Side Games, Developer,Vancouver,British Columbia,Canada
418,Eden Industries, Developer,Kelowna,British Columbia,Canada
419,Eidos Montreal, Developer and Publisher,Montreal,Quebec,Canada
420,Epic Games, Developer,Montreal,Quebec,Canada
421,Evodant, Developer,Winnipeg,Manitoba,Canada
422,Execution Labs, Organization,Montreal,Quebec,Canada
423,Fancy Skeleton Games, Mobile,Victoria,British Columbia,Canada
424,Felix & Paul, Virtual Reality,Montreal,Quebec,Canada
425,Finger Food Studios, Developer,Port Moody,British Columbia,Canada
426,Finish Line Games, Developer,Toronto,Ontario,Canada
427,Fire Face, Developer,Ottawa,Ontario,Canada
428,First Studio, Developer,Montreal,Quebec,Canada
429,Flight School Studio, Developer,Montreal,Quebec,Canada
430,Fluik Entertainment, Mobile,Edmonton,Alberta,Canada
431,Foolish Mortals, Developer,Saskatoon,Saskatchewan,Canada
432,Fowl Moon Studios, Mobile,Winnipeg,Manitoba,Canada
